Variable name,Description
active,"IN YOUR USUAL DAY, HOW ACTIVE ARE YOU? IN 1971, 0:very active, 1:moderately active, 2:inactive"
age,AGE IN 1971
alcoholfreq,"HOW OFTEN DO YOU DRINK?  IN 1971  0: Almost every day, 1: 2-3 times/week, 2: 1-4 times/month, 3: < 12 times/year, 4: No alcohol last year, 5: Unknown"
alcoholhowmuch,"WHEN YOU DRINK, HOW MUCH DO YOU DRINK?  IN 1971"
alcoholpy,"HAVE YOU HAD 1 DRINK PAST YEAR? IN 1971,  1:EVER, 0:NEVER; 2:MISSING"
alcoholtype,"WHICH DO YOU MOST FREQUENTLY DRINK? IN 1971  1: BEER, 2: WINE, 3: LIQUOR, 4: OTHER/UNKNOWN"
allergies,"USE ALLERGIES MEDICATION IN 1971,  1:EVER, 0:NEVER"
asthma,"DX ASTHMA IN 1971, 1:EVER, 0:NEVER"
bithcontrol,"BIRTH CONTROL PILLS PAST 6 MONTHS? IN 1971 1:YES, 0:NO, 2:MISSING"
birthplace,CHECK STATE CODE - SECOND PAGE
boweltrouble,"USE BOWEL TROUBLE MEDICATION IN 1971,  1:EVER, 0:NEVER, ; 2:MISSING"
bronch,"DX CHRONIC BRONCHITIS/EMPHYSEMA IN 1971,  1:EVER, 0:NEVER"
cholesterol,SERUM CHOLESTEROL (MG/100ML) IN 1971
chroniccough,"DX CHRONIC COUGH IN 1971,  1:EVER, 0:NEVER"
colitis,"DX COLITIS IN 1971,  1:EVER, 0:NEVER"
dadth,DAY OF DEATH
dbp,DIASTOLIC BLOOD PRESSURE IN 1982
death,"DEATH BY 1992, 1:YES, 0:NO"
diabetes,"DX DIABETES IN 1971,  1:EVER, 0:NEVER, 2:MISSING"
education,"AMOUNT OF EDUCATION BY 1971: 1: 8TH GRADE OR LESS, 2: HS DROPOUT, 3: HS, 4:COLLEGE DROPOUT, 5: COLLEGE OR MORE"
exercise,"IN RECREATION, HOW MUCH EXERCISE? IN 1971, 0:much exercise,1:moderate exercise,2:little or no exercise"
hayfever,"DX HAY FEVER IN 1971, 1:EVER, 0:NEVER"
hbp,"DX HIGH BLOOD PRESSURE IN 1971, 1:EVER, 0:NEVER, 2:MISSING"
hbpmed,"USE HIGH BLOOD PRESSURE MEDICATION IN 1971,  1:EVER, 0:NEVER, ; 2:MISSING"
headache,"USE HEADACHE MEDICATION IN 1971,  1:EVER, 0:NEVER"
hepatitis,"DX HEPATITIS IN 1971,  1:EVER, 0:NEVER"
hf,"DX HEART FAILURE IN 1971, 1:EVER, 0:NEVER"
