"RecordID","WatershedID","City","State","Location","Date","Watershed.Years","ShortLU","LandUse","Tillage","CP1","CP2","CP3","DST","ShortST","D.SoilType","H.SoilGroup","MinSoilP","MaxSoilP","SoilP.Extractant","MinSlope","MaxSlope","MinSize","MaxSize","FertilizerForm1","F.AppMethod1","FertilizerForm2","F.AppMethod2","Max.N.Applied","Min.N.Applied","Avg.N.Applied","Max.P.Applied","Min.P.Applied","Avg.P.Applied","Max.rain","Min.rain","Avg.rain","Max.Runoff","Min.Runoff","Avg.Runoff","Max.SoilL","Min.SoilL","Avg.SoilL","MaxDN","MinDN","AvgDN","DN.Form","MaxPN","MinPN","AvgPN","PN.Form","MaxTNLoad","MinTNLoad","AvgTNLoad","TN.Form","MaxDP","MinDP","AvgDP","DP.Form","MaxPP","MinPP","AvgPP","PP.Form","MaxTPLoad","MinTPLoad","AvgTPLoad","FormTP","FlowIndicator","Comments","Reference","Ref","CPs"
151,"4 Yr. Bahiagrass 1","Tifton, GA","GA",NA,"1952 - 1960",4,"Pasture","1st Yr. Bahiagrass, Clover (4 Yr. Rotation of Bahiagrass/Clover (2 yr.), Corn, Peanuts)","Pasture",NA,NA,NA,"Sandy","Loamy Sand","Loamy Sand- Tifton","A",NA,NA,NA,3,3,0.02,0.02,NA,"Other2",NA,NA,NA,NA,84,NA,NA,26,1545,591,1107,NA,NA,NA,NA,NA,2062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Surface Runoff",NA,"Thomas, A.W., R.L. Carter, and J.R. Carreker. 1968. Soil, Water, and Nutrient Losses from Tifton Loamy Sand. Transactions of the ASAE 11:677-679, 682.",44,0
152,"4 Yr. Bahiagrass 2","Tifton, GA","GA",NA,"1952 - 1960",4,"Pasture","2nd Yr. Bahiagrass, Clover (4 Yr. Rotation of Bahiagrass/Clover (2 yr.), Corn, Peanuts)","Pasture",NA,NA,NA,"Sandy","Loamy Sand","Loamy Sand- Tifton","A",NA,NA,NA,3,3,0.02,0.02,NA,"Other2",NA,NA,NA,NA,84,0,0,0,1545,591,1107,NA,NA,NA,NA,NA,941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Surface Runoff",NA,"Thomas, A.W., R.L. Carter, and J.R. Carreker. 1968. Soil, Water, and Nutrient Losses from Tifton Loamy Sand. Transactions of the ASAE 11:677-679, 682.",44,0
260,"KA-1","Middleton, WI","WI",NA,"2003-2004",2,"Alfalfa","Alfalfa","Pasture",NA,NA,NA,"Loamy","Loam","Loam- St. Charles","B",84,84,"Bray 1",15,15,0.0326,0.0326,"Liquid Dairy Manure","Surface Applied",NA,NA,NA,NA,NA,29.5,22.1,25.8,NA,NA,NA,1.35,0.66,1.01,162.5,20.8,91.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0,0.04,"Total Dissolved P",0.04,0.03,0.04,NA,0.12,0.12,0.12,NA,"Surface Runoff",NA,"Cabot, P.E., K.G. Karthikeyan, P.S. Miller, and P. Nowak. 2006. Sediment and Phosphorus Delivery from Alfalfa Swards. Trans. ASABE 49(2):375-388.",7,0
261,"KA-2","Middleton, WI","WI",NA,"2003-2004",2,"Alfalfa","Alfalfa","Pasture",NA,NA,NA,"Loamy","Silt Loam","Silt Loam- Kidder","B",33,33,"Bray 1",3,3,0.011,0.011,"Liquid Dairy Manure","Surface Applied",NA,NA,NA,NA,NA,29.5,22.1,25.8,NA,NA,NA,9.45,0.61,5.03,207.4,16.3,111.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82,0.01,0.91,"Total Dissolved P",0.42,0.02,0.22,NA,2.21,0.03,1.12,NA,"Surface Runoff","Flow from outside the watershed may have contributed to runoff, sediment, and P loads from KA-2 in 2004.","Cabot, P.E., K.G. Karthikeyan, P.S. Miller, and P. Nowak. 2006. Sediment and Phosphorus Delivery from Alfalfa Swards. Trans. ASABE 49(2):375-388.",7,0
93,"C7","Chickasha, OK","OK",NA,"July 1972 - June 1973",1,"Alfalfa","Alfalfa (Dryland)","Pasture",NA,NA,NA,"Loamy","Silt Loam","Silt Loam- Reinach, McLain","B, C",NA,NA,NA,0,0.5,10.7,10.7,"12-24-12","Other2",NA,NA,NA,NA,40,NA,NA,44,NA,NA,970,NA,NA,150,NA,NA,250,NA,NA,3.37,"NO3+NO2+NH4-N",NA,NA,3.18,"TKN",NA,NA,6.55,NA,NA,NA,1.13,"SRP",NA,NA,NA,NA,NA,NA,2.48,NA,"Surface Runoff","Estimated precipitation, runoff, and soil loss off figures.","Olness, A., S.J. Smith, E.D. Rhoades, and R.G. Menzel. 1975. Nutrient and Sediment Discharge from Agricultural Watersheds in Oklahoma. J. Environ. Qual. 4(3): 331-336.",29,0
68,"Site 3, 4 (Two Watersheds)","Eastern SD","SD",NA,"1971 - 1972",4,"Alfalfa","Alfalfa, Bromegrass","Pasture",NA,NA,NA,"Loamy","Sandy Clay Loam","Sandy Clay Loam, Loam","B, C",NA,NA,NA,NA,NA,3.6,4.1,NA,"Other2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,9,27,NA,NA,4,NA,NA,0.24,"NO3-N",NA,NA,0.73,"TKN",NA,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,"Surface Runoff",NA,"Harms, L.L., J.N. Dornbush, and J.R. Andersen. 1974. Physical and Chemical Quality of Agricultural Land Runoff. J. Water Poll. Contr. Fed. 46(11): 2460-2470.",15,0
259,"9","Quebec City, Quebec, Canada","Canada",NA,"2002",1,"Other","Barley year in a rotation of Barley, Meadow, Meadow, Meadow (4 yr. rotation)","Conventional",NA,NA,NA,"Loamy","Silt Loam","Silt Loam- Les Bras",NA,13,13,"Mehlich 3",0.7,0.7,0.19,0.19,NA,"Surface Applied",NA,NA,NA,NA,NA,31,31,31,945,945,946,3.7,3.7,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.001,0.001,"Total Dissolved P",0.017,0.017,0.017,NA,0.019,0.019,0.019,NA,"Surface Runoff & Drainage","Tile drains contributed an additional total P load of 0.461 kg/ha in 2002.  Precipitation includes rain and snow.","Goulet, M., J. Gallichand, M. Duchemin, and M. Giroux. 2006. Measured and Computed Phosphorus Losses by Runoff and Subsurface Drainage in Eastern Canada. Applied Eng. Agric. 22(2): 203-213.",11,0
256,"5","Quebec City, Quebec, Canada","Canada",NA,"2002",1,"Other","Barley year in a rotation of Canola, Corn, Corn, Barley (4 yr. rotation)","Conservation",NA,NA,NA,"Loamy","Silt Loam","Silt Loam- Les Bras",NA,22,22,"Mehlich 3",1.2,1.2,0.19,0.19,NA,"Surface Applied",NA,NA,NA,NA,NA,37.6,37.6,37.6,945,945,946,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.002,0.002,"Total Dissolved P",0.066,0.066,0.066,NA,0.068,0.068,0.068,NA,"Surface Runoff & Drainage","Tile drains contributed an additional total P load of 0.653 kg/ha in 2002.  Precipitation includes rain and snow.","Goulet, M., J. Gallichand, M. Duchemin, and M. Giroux. 2006. Measured and Computed Phosphorus Losses by Runoff and Subsurface Drainage in Eastern Canada. Applied Eng. Agric. 22(2): 203-213.",11,0
257,"7","Quebec City, Quebec, Canada","Canada",NA,"2002",1,"Other","Barley year in a rotation of Canola, Corn, Corn, Barley (4 yr. rotation)","Conventional",NA,NA,NA,"Loamy","Silt Loam","Silt Loam- Les Bras",NA,20,20,"Mehlich 3",0.7,0.7,0.19,0.19,"Liquid Swine Manure","Incorporated",NA,NA,NA,NA,NA,97,97,97,945,945,946,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.004,0.004,"Total Dissolved P",0.035,0.035,0.035,NA,0.039,0.039,0.039,NA,"Surface Runoff & Drainage","Tile drains contributed an additional total P load of 0.753 kg/ha in 2002.  Precipitation includes rain and snow.","Goulet, M., J. Gallichand, M. Duchemin, and M. Giroux. 2006. Measured and Computed Phosphorus Losses by Runoff and Subsurface Drainage in Eastern Canada. Applied Eng. Agric. 22(2): 203-213.",11,0
258,"8","Quebec City, Quebec, Canada","Canada",NA,"2002",1,"Other","Barley year in a rotation of Canola, Corn, Corn, Barley (4 yr. rotation)","Conservation",NA,NA,NA,"Loamy","Silt Loam","Silt Loam- Les Bras",NA,22,22,"Mehlich 3",0.5,0.5,0.19,0.19,"Liquid Swine Manure","Incorporated",NA,NA,NA,NA,NA,97,97,97,945,945,946,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.001,0.001,"Total Dissolved P",0.003,0.003,0.003,NA,0.004,0.004,0.004,NA,"Surface Runoff & Drainage","Tile drains contributed an additional total P load of 1.133 kg/ha in 2002.  Precipitation includes rain and snow.","Goulet, M., J. Gallichand, M. Duchemin, and M. Giroux. 2006. Measured and Computed Phosphorus Losses by Runoff and Subsurface Drainage in Eastern Canada. Applied Eng. Agric. 22(2): 203-213.",11,0
